id,allmusic_id
0,mn0000150579
1,mn0000013686
2,mn0000070227
3,mn0001056629
4,mn0000173925
5,mn0000674161
6,mn0001502263
7,mn0000998440
8,mn0000331350
9,mn0001031148
10,mn0000197150
11,mn0000551816
12,mn0000371459
13,mn0000473909
14,mn0000124767
15,mn0000105565
16,mn0000184500
17,mn0000784189
18,mn0000020630
19,mn0002166996
20,mn0000398020
21,mn0000951924
22,mn0000568680
23,mn0000549797
24,mn0002166516
25,mn0000791070
26,mn0000586204
27,mn0000079523
28,mn0001033540
29,mn0000675456
30,mn0000176360
31,mn0000138144
32,mn0000363156
33,mn0000306851
34,mn0000833586
35,mn0000005307
36,mn0000891991
37,mn0000076322
38,mn0000414095
39,mn0000782941
40,mn0000594780
41,mn0000566085
42,mn0001971219
43,mn0000424117
44,mn0002313332
45,mn0000047716
46,mn0000676567
47,mn0000049846
48,mn0000766713
49,mn0000790525
50,mn0000204863
51,mn0000930027
52,mn0000670150
53,mn0000021148
54,mn0000259561
55,mn0000793944
56,mn0000633142
57,mn0000148642
58,mn0000525664
59,mn0001568909
60,mn0002059192
61,mn0001003184
62,mn0000807893
63,mn0000307875
64,mn0000671352
65,mn0000231213
66,mn0002286924
67,mn0002098931
68,mn0001907815
69,mn0000244552
70,mn0000115253
71,mn0000000674
72,mn0000119555
73,mn0000195502
74,mn0000387580
75,mn0000453205
76,mn0000717013
77,mn0000661800
78,mn0003480886
79,mn0001046919
80,mn0000567450
81,mn0001865174
82,mn0000782252
83,mn0000732411
84,mn0000325651
85,mn0000792585
86,mn0000342326
87,mn0000127735
88,mn0000286274
89,mn0000812118
90,mn0000010243
91,mn0000834242
92,mn0000099246
93,mn0000970141
94,mn0000112387
95,mn0000050034
96,mn0000207084
97,mn0000715864
98,mn0000803645
99,mn0000595445
100,mn0000178880
101,mn0000787282
102,mn0001935916
103,mn0000012595
104,mn0000046603
105,mn0000208084
106,mn0000726655
107,mn0000945245
108,mn0000679370
109,mn0000120273
110,mn0000045253
111,mn0000958560
112,mn0000304526
113,mn0000475058
114,mn0000009764
115,mn0002104987
116,mn0000197424
117,mn0000160848
118,mn0000101701
119,mn0000548068
120,mn0000477430
121,mn0000393775
122,mn0000480721
123,mn0002108157
124,mn0000952169
125,mn0000414506
126,mn0000397042
127,mn0000051909
128,mn0000957520
129,mn0000933281
130,mn0000099555
131,mn0000115733
132,mn0000475783
133,mn0000495541
134,mn0000355885
135,mn0000033079
136,mn0000852405
137,mn0000337500
138,mn0002110124
139,mn0000894335
140,mn0000785787
141,mn0000064101
142,mn0000208019
143,mn0000669105
144,mn0000749729
145,mn0000925660
146,mn0000363100
147,mn0000677692
148,mn0000034382
149,mn0000852378
150,mn0000182059
151,mn0000819748
152,mn0001970510
153,mn0000008154
154,mn0000200580
155,mn0000011238
156,mn0000139804
157,mn0000811897
158,mn0000577149
159,mn0001747431
160,mn0000572114
161,mn0000245136
162,mn0000210288
163,mn0000841881
164,mn0001004526
165,mn0000007968
166,mn0000323641
167,mn0000301746
168,mn0000197910
169,mn0000767510
170,mn0000911827
171,mn0000525799
172,mn0000321944
173,mn0000471711
174,mn0000347933
175,mn0000232087
176,mn0000919812
177,mn0000241650
178,mn0000564726
179,mn0000953472
180,mn0000020729
181,mn0000265714
182,mn0000018549
183,mn0000238440
184,mn0002129297
185,mn0000270064
186,mn0000185888
187,mn0001000557
188,mn0000169690
189,mn0000934174
190,mn0000561590
191,mn0000758919
192,mn0001562141
193,mn0000360817
194,mn0000810225
195,mn0000793365
196,mn0000809396
197,mn0000055496
198,mn0000148750
199,mn0000393539
200,mn0000573049
201,mn0000146084
202,mn0000376204
203,mn0000424302
204,mn0000232869
205,mn0000094944
206,mn0000933447
207,mn0000219824
208,mn0002342677
