id,name
mn0000150579,E-I-E-I-O
mn0000013686,Tracy + the Plastics
mn0000070227,Bobby Burns
mn0001056629,Amesoeurs
mn0000173925,Eddie Holman
mn0000674161,Manu Chao
mn0001502263,Hot Banditoz
mn0000998440,Samuli Kemppi
mn0000331350,The Lovemakers
mn0001031148,Seth Gueko
mn0000197150,Decapitated
mn0000551816,DJ Die
mn0000371459,Pulsedriver
mn0000473909,The Matches
mn0000124767,Jack Sheldon
mn0000105565,Krisiun
mn0000184500,Edi Fitzroy
mn0000784189,The Coup
mn0000020630,Sinitta
mn0002166996,Silver Screen
mn0000398020,Michelle Williams
mn0000951924,Hasil Adkins
mn0000568680,The Three Suns
mn0000549797,Hank Williams
mn0002166516,Sofi Bonde
mn0000791070,Tony Sly
mn0000586204,Yo Gotti
mn0000079523,Kerry Livgren
mn0001033540,Oscillation
mn0000675456,Manix
mn0000176360,Charlie Robison
mn0000138144,Banco de Gaia
mn0000363156,Mouse
mn0000306851,Junkie XL
mn0000833586,Salon Victoria
mn0000005307,Alicia Keys
mn0000891991,Miff Mole
mn0000076322,The Harptones
mn0000414095,Nina Nastasia
mn0000782941,Crunchy Black
mn0000594780,Aquagen
mn0000566085,Marcos
mn0001971219,Paolo Benvegnù
mn0000424117,The Rippingtons
mn0002313332,Back Door Slam
mn0000047716,Andy Snitzer
mn0000676567,Darkane
mn0000049846,Early Man
mn0000766713,Kev Brown
mn0000790525,Tahiti 80
mn0000204863,Gridlock
mn0000930027,Agnelli & Nelson
mn0000670150,Damone
mn0000021148,Terence Fixmer
mn0000259561,Let's Active
mn0000793944,Benny Martin
mn0000633142,Butterfingers
mn0000148642,The Dynamic Superiors
mn0000525664,Butch Hancock
mn0001568909,Anarbor
mn0002059192,Italoboyz
mn0001003184,Tes la Rok
mn0000807893,Vince Clarke
mn0000307875,Nanci Griffith
mn0000671352,Megafaun
mn0000231213,John Wetton
mn0002286924,Harry Diboula
mn0002098931,Ola Svensson
mn0001907815,Ich + Ich
mn0000244552,Mark Murphy
mn0000115253,Common
mn0000000674,P.J. Proby
mn0000119555,The Vision Bleak
mn0000195502,Gare du Nord
mn0000387580,Renee Rosnes
mn0000453205,Norris Man
mn0000717013,Belong
mn0000661800,Swallow the Sun
mn0003480886,Polaris
mn0001046919,Sonar Kollektiv Orchester
mn0000567450,40 Grit
mn0001865174,Circle Takes the Square
mn0000782252,Jake Brennan & The Confidence Men
mn0000732411,Maria Daniela y Su Sonido Lasser
mn0000325651,Peter La Farge
mn0000792585,Altan
mn0000342326,Nicole Kidman
mn0000127735,Craig G
mn0000286274,San Quinn
mn0000812118,Maelo Ruiz
mn0000010243,Stan Ridgway
mn0000834242,Judas Iscariot
mn0000099246,Concrete Blonde
mn0000970141,Mike Farris
mn0000112387,Jocelyn Enriquez
mn0000050034,Gary Moore
mn0000207084,Joe Stump
mn0000715864,Karen Elson
mn0000803645,Gene Parsons
mn0000595445,Mortiis
mn0000178880,Tampa Red
mn0000787282,Baracuda
mn0001935916,Peter and the Wolf
mn0000012595,American Hi-Fi
mn0000046603,Sonny Burgess
mn0000208084,Vibrasphere
mn0000726655,Knights of the Abyss
mn0000945245,Guster
mn0000679370,Hillsong
mn0000120273,Cleo Laine
mn0000045253,Sweet Tee
mn0000958560,Hannes Wader
mn0000304526,Exilia
mn0000475058,Aníbal Troilo
mn0000009764,Seu Jorge
mn0002104987,Onra
mn0000197424,Vicente Fernández
mn0000160848,Gregory Isaacs
mn0000101701,Conflict
mn0000548068,Giardini di Mirò
mn0000477430,40 Below Summer
mn0000393775,Neil Hannon
mn0000480721,Tapes 'n Tapes
mn0002108157,Poney Express
mn0000952169,DJ Vadim
mn0000414506,Milly Quezada
mn0000397042,Maynard Ferguson
mn0000051909,Carpenters
mn0000957520,Daniela Mercury
mn0000933281,Brave Combo
mn0000099555,Seth Lakeman
mn0000115733,J.B. Lenoir
mn0000475783,Peter Broderick
mn0000495541,Achim Reichel
mn0000355885,Kardinal Offishall
mn0000033079,The Artwoods
mn0000852405,Rotary Connection
mn0000337500,Mazi
mn0002110124,Slonovski Bal
mn0000894335,The Platters
mn0000785787,Bascom Lamar Lunsford
mn0000064101,The Cat's Miaow
mn0000208019,Desmond Riley
mn0000669105,The Acorn
mn0000749729,Stephen Duffy
mn0000925660,These Animal Men
mn0000363100,Prong
mn0000677692,Danzel
mn0000034382,Paul Young
mn0000852378,Jimmy Justice
mn0000182059,Jazzy Jay
mn0000819748,Jon Dee Graham
mn0001970510,Tiny Masters of Today
mn0000008154,Alisha's Attic
mn0000200580,Twisted Method
mn0000011238,Sir Menelik
mn0000139804,Joe Henderson
mn0000811897,John Michael Montgomery
mn0000577149,Lights Out Asia
