from_id,to_id
mn0000551816,mn0000614213
mn0000784189,mn0001487483
mn0000398020,mn0000761179
mn0000791070,mn0000344037
mn0000791070,mn0000184231
mn0000675456,mn0000478322
mn0000675456,mn0000055778
mn0000891991,mn0000884272
mn0000782941,mn0000305641
mn0000782941,mn0000924367
mn0000782941,mn0000826022
mn0000782941,mn0000095662
mn0000782941,mn0000367133
mn0000782941,mn0000025245
mn0000676567,mn0000597314
mn0000790525,mn0000622576
mn0000525664,mn0000062758
mn0000807893,mn0000010458
mn0000807893,mn0000239921
mn0000807893,mn0000184811
mn0000807893,mn0000318966
mn0000231213,mn0000845668
mn0000231213,mn0000852855
mn0000115253,mn0000361014
mn0000286274,mn0000383484
mn0000286274,mn0000086433
mn0000286274,mn0000120254
mn0000010243,mn0000191175
mn0000099246,mn0000852855
mn0000970141,mn0000838236
mn0000803645,mn0000631774
mn0000803645,mn0000194703
mn0000595445,mn0000193342
mn0000178880,mn0000161738
mn0000012595,mn0000806168
mn0000477430,mn0000602467
mn0000933281,mn0000603980
mn0000852405,mn0000500889
mn0000925660,mn0000273673
mn0000363100,mn0000034988
mn0000139804,mn0000743968
mn0000139804,mn0000771724
mn0000572114,mn0000572603
mn0000841881,mn0000576839
mn0000767510,mn0000625278
mn0000471711,mn0000237773
mn0000347933,mn0000094210
mn0000232087,mn0000655742
mn0000919812,mn0000338566
mn0000919812,mn0000361393
mn0000238440,mn0000224638
mn0000238440,mn0000678339
mn0000238440,mn0000957102
mn0000238440,mn0000007305
mn0000238440,mn0000617196
mn0000238440,mn0000344060
mn0000238440,mn0000257544
mn0001000557,mn0000510953
mn0000758919,mn0000105023
mn0000360817,mn0000491137
mn0000055496,mn0000752466
mn0000393539,mn0000580300
mn0000393539,mn0000153915
mn0001361529,mn0000019392
mn0000834141,mn0000947563
mn0000066915,mn0000069153
mn0000066915,mn0000038490
mn0000066915,mn0000816890
mn0000851473,mn0000520079
mn0000851473,mn0000370482
mn0000851473,mn0000280692
mn0000860588,mn0000479632
mn0000189701,mn0000562030
mn0000772733,mn0000047421
mn0000772733,mn0000772976
mn0000319945,mn0000084209
mn0000319945,mn0000751623
mn0000290502,mn0000057248
mn0000859509,mn0000283517
mn0000492670,mn0000897214
mn0000743968,mn0000647670
mn0000743968,mn0000139804
mn0001003186,mn0000666714
mn0002036451,mn0000477592
mn0000087162,mn0000181321
mn0000129201,mn0000489339
mn0000322027,mn0000792507
mn0000322027,mn0000158309
mn0000488565,mn0000868616
mn0000488565,mn0000925129
mn0000893493,mn0000938337
mn0000206465,mn0000169317
mn0000794244,mn0000775212
mn0000334770,mn0000590524
mn0000429259,mn0000179021
mn0000742236,mn0000069813
mn0000283449,mn0000978044
mn0000957296,mn0000080443
mn0000915181,mn0000844440
mn0000295443,mn0000769238
mn0000295443,mn0000617196
mn0000295443,mn0000121584
mn0000407287,mn0000657337
mn0000527773,mn0000382455
mn0000527773,mn0000010635
mn0000598649,mn0000193602
mn0000668922,mn0000895443
mn0000668922,mn0000762775
mn0000237517,mn0000171637
mn0000237517,mn0000366407
mn0000933568,mn0000413683
mn0000933568,mn0000569700
mn0000001098,mn0000286339
mn0000001098,mn0000022875
mn0000001098,mn0000775406
mn0000001098,mn0000202766
mn0000001098,mn0000104515
mn0000001098,mn0000040743
mn0000578222,mn0000094861
mn0000004332,mn0000032433
mn0000621817,mn0000952761
mn0000150629,mn0000804476
mn0000150629,mn0000542416
mn0000796069,mn0000103729
mn0000394288,mn0000114708
mn0000808304,mn0000987621
mn0000322944,mn0000299378
mn0000958839,mn0000239921
mn0000958839,mn0000184811
mn0000589117,mn0000095166
mn0000589117,mn0001419218
mn0000589117,mn0000498241
mn0000121469,mn0000408427
mn0000121469,mn0000125332
mn0000232564,mn0000209142
mn0000232564,mn0000029884
mn0000232564,mn0000217792
mn0000232564,mn0000521704
mn0000227988,mn0001972796
mn0000936658,mn0000102063
mn0000666598,mn0000928351
mn0000666598,mn0000491174
mn0000363372,mn0000157676
mn0000363372,mn0000774260
mn0000363372,mn0000196907
mn0000048594,mn0000149539
mn0000638121,mn0000131581
mn0000638121,mn0000631774
mn0000101164,mn0000545951
mn0000302191,mn0000243238
mn0000674409,mn0000212832
mn0000121459,mn0000533644
mn0000234815,mn0000654393
mn0000234815,mn0000896954
mn0000717371,mn0000149102
mn0000717371,mn0000475492
mn0000238375,mn0000230729
mn0000238375,mn0000029388
mn0000238375,mn0000220563
mn0000238375,mn0000406134
mn0000238375,mn0000886267
mn0000786673,mn0002687626
mn0000104515,mn0000694114
mn0000104515,mn0000509223
mn0000104515,mn0000397697
mn0000104515,mn0000357406
mn0000010802,mn0000163435
mn0000010802,mn0000231342
mn0000584041,mn0000826299
mn0000077766,mn0000884122
mn0000038579,mn0000570046
mn0000038579,mn0000062378
mn0000157922,mn0000224001
mn0000166220,mn0000955793
mn0000121234,mn0000110847
mn0001704574,mn0000153565
mn0000926604,mn0000105561
mn0000057248,mn0000290502
