from_id,to_id
mn0000124767,mn0000090103
mn0000176360,mn0000941303
mn0000306851,mn0000864878
mn0000891991,mn0000884272
mn0000047716,mn0000065882
mn0000047716,mn0000105329
mn0000047716,mn0000125479
mn0000047716,mn0000348105
mn0000793944,mn0000286662
mn0000307875,mn0000151290
mn0000231213,mn0000074776
mn0000231213,mn0000524050
mn0000231213,mn0000641067
mn0000244552,mn0000136956
mn0000244552,mn0000081181
mn0000244552,mn0000390239
mn0000244552,mn0000332725
mn0000387580,mn0000139804
mn0000127735,mn0000107294
mn0000286274,mn0000120254
mn0000050034,mn0000121185
mn0000050034,mn0000152312
mn0000803645,mn0000834466
mn0000803645,mn0000175708
mn0000178880,mn0000188279
mn0000120273,mn0000118056
mn0000197424,mn0000806991
mn0000160848,mn0000812290
mn0000160848,mn0000836313
mn0000397042,mn0000260038
mn0000115733,mn0000490769
mn0000139804,mn0000798326
mn0000139804,mn0000957296
mn0000139804,mn0000868092
mn0000347933,mn0000742899
mn0000953472,mn0000958907
mn0000238440,mn0000062378
mn0000238440,mn0000641067
mn0000238440,mn0000231213
mn0000238440,mn0000337119
mn0000238440,mn0000007305
mn0000270064,mn0000661795
mn0000270064,mn0000051828
mn0000809396,mn0000328288
mn0000376204,mn0000113753
mn0000376204,mn0000278439
mn0000791483,mn0000343416
mn0000738182,mn0000286483
mn0000738182,mn0000290464
mn0000738182,mn0000742899
mn0000738182,mn0000745316
mn0000066915,mn0000509524
mn0000851473,mn0000308968
mn0000439291,mn0000232564
mn0000319945,mn0000588508
mn0000319945,mn0000200968
mn0000798169,mn0000927009
mn0000322027,mn0000184502
mn0000322027,mn0000311742
mn0000322027,mn0000489316
mn0000322027,mn0000853163
mn0000322027,mn0000749504
mn0000919623,mn0000481864
mn0000794244,mn0000104388
mn0000794244,mn0000390239
mn0000794244,mn0000332725
mn0000957296,mn0000798326
mn0000812046,mn0000849333
mn0000812046,mn0000746915
mn0000812046,mn0000044994
mn0000941303,mn0000176360
mn0000941303,mn0000090563
mn0000237517,mn0000792507
mn0000933568,mn0000767741
mn0000933568,mn0000641474
mn0000933568,mn0000551055
mn0000933568,mn0000455694
mn0000192180,mn0000024263
mn0000773147,mn0000300659
mn0000788362,mn0000296366
mn0000394288,mn0000820195
mn0000808304,mn0000407058
mn0000112540,mn0000039661
mn0000005641,mn0000659071
mn0000005641,mn0001655886
mn0000005641,mn0000032776
mn0000232564,mn0000590285
mn0000232564,mn0000849333
mn0000936658,mn0000600734
mn0000674409,mn0000039857
mn0000033545,mn0000187478
mn0000655346,mn0000390239
mn0000655346,mn0000017929
mn0000655346,mn0000332725
mn0000104515,mn0000287350
mn0000010802,mn0000836958
mn0000121234,mn0000266002
mn0000184967,mn0000241813
mn0000516020,mn0000039258
mn0000217963,mn0000569185
mn0000217963,mn0000801762
mn0000597309,mn0000601079
mn0000597309,mn0000867271
mn0000597309,mn0000293896
mn0000600920,mn0000740569
mn0001953486,mn0000293969
mn0000020319,mn0000066429
mn0000169568,mn0000756318
mn0000169568,mn0002119207
mn0000169568,mn0000402514
mn0000169568,mn0000008549
mn0000635760,mn0000740861
mn0000211146,mn0000153590
mn0000211146,mn0000849333
mn0000211146,mn0000686897
mn0000197757,mn0000780108
mn0000197757,mn0000260361
mn0000197757,mn0000801101
mn0000833738,mn0000769616
mn0000833738,mn0000959770
mn0000239329,mn0000075979
mn0000239329,mn0000163426
mn0000239329,mn0000673577
mn0000239329,mn0000826988
mn0000604940,mn0000184091
mn0000604940,mn0000808214
mn0000604940,mn0000042513
mn0000234488,mn0000809396
mn0000234488,mn0000327130
mn0000749504,mn0000311742
mn0000749504,mn0000322027
mn0000673360,mn0000163133
mn0000489658,mn0000854545
mn0000000589,mn0000327130
mn0000737770,mn0000021334
mn0000137084,mn0000276381
mn0000039661,mn0000112540
mn0000039661,mn0000124390
mn0000039661,mn0000825208
mn0000039661,mn0000577531
mn0000150062,mn0000630882
mn0000150062,mn0000780056
mn0000150062,mn0000959770
mn0000826381,mn0000588887
mn0000162122,mn0000503279
mn0000162122,mn0000211483
mn0000178549,mn0000617196
mn0000178549,mn0000955544
mn0000227415,mn0000845196
mn0000227415,mn0000745316
mn0000266002,mn0000120325
mn0000266002,mn0000110847
mn0000266002,mn0000121234
mn0000266002,mn0000376613
mn0000266002,mn0000389137
mn0000266002,mn0002028948
mn0000929573,mn0000052094
mn0000519637,mn0000228385
mn0000479687,mn0000284546
mn0000204850,mn0000090389
mn0000204850,mn0000808198
mn0000808250,mn0000314288
mn0000176281,mn0000152490
mn0000677991,mn0000767741
mn0000677991,mn0000104388
mn0000677991,mn0000390239
mn0000677991,mn0000423829
mn0000677991,mn0000332725
mn0000541348,mn0000585092
mn0000541348,mn0000211570
mn0000507275,mn0000256349
mn0000412134,mn0000784458
mn0000064199,mn0000222298
mn0000064199,mn0000387352
mn0000064199,mn0000245039
mn0000838563,mn0000587708
mn0000799053,mn0000240865
mn0000668576,mn0000638498
mn0000120521,mn0000780056
mn0000962913,mn0000031181
mn0000962913,mn0000376150
mn0000962913,mn0000625526
mn0000962913,mn0000602907
mn0000962913,mn0001655886
mn0000962913,mn0001643985
mn0000661645,mn0000928942
mn0000661645,mn0000260038
mn0000661645,mn0000768027
mn0000661645,mn0000396372
mn0000800332,mn0000785380
mn0000039656,mn0000928942
mn0000039656,mn0000396372
mn0000039656,mn0000290464
mn0000530996,mn0000588508
mn0000530996,mn0000200968
mn0000530996,mn0000387720
mn0000530996,mn0000751623
mn0000078802,mn0000767068
mn0000144581,mn0000795288
mn0000813019,mn0000086774
mn0000513770,mn0000203351
mn0000153915,mn0000854545
mn0000618713,mn0000186185
mn0000242545,mn0000615119
mn0000787810,mn0000057840
mn0000787810,mn0000037197
mn0000795288,mn0000110033
mn0000795288,mn0000144581
mn0000795288,mn0000602907
mn0000377538,mn0000144581
