from_id,to_id
mn0000173925,mn0002319672
mn0000674161,mn0000245250
mn0000674161,mn0000245102
mn0000674161,mn0000836376
mn0000674161,mn0000487534
mn0000674161,mn0000375659
mn0000674161,mn0000297569
mn0000784189,mn0000811234
mn0000784189,mn0000771200
mn0000784189,mn0000933841
mn0000784189,mn0000454067
mn0000784189,mn0000851690
mn0000784189,mn0000406134
mn0000951924,mn0000003669
mn0000951924,mn0000462110
mn0000549797,mn0000171637
mn0000549797,mn0000987491
mn0000549797,mn0000947752
mn0000549797,mn0000117844
mn0000549797,mn0000332141
mn0000549797,mn0000198783
mn0000549797,mn0000409954
mn0000549797,mn0000200791
mn0000549797,mn0000583959
mn0000549797,mn0000066915
mn0000549797,mn0000941579
mn0000549797,mn0000538677
mn0000549797,mn0000525664
mn0000549797,mn0000172770
mn0000549797,mn0000163198
mn0000549797,mn0000165818
mn0000549797,mn0000207735
mn0000549797,mn0000807489
mn0000549797,mn0000792370
mn0000549797,mn0000791483
mn0000549797,mn0000143951
mn0000549797,mn0000944084
mn0000549797,mn0000664378
mn0000549797,mn0000951924
mn0000549797,mn0000816890
mn0000549797,mn0000774588
mn0000549797,mn0000816387
mn0000549797,mn0000837215
mn0000549797,mn0000174122
mn0000549797,mn0000525789
mn0000549797,mn0000477954
mn0000549797,mn0000355451
mn0000549797,mn0000396676
mn0000549797,mn0000294085
mn0000549797,mn0000334740
mn0000549797,mn0000852007
mn0000549797,mn0000027372
mn0000549797,mn0000515628
mn0000549797,mn0000621187
mn0000549797,mn0000744796
mn0000549797,mn0000254215
mn0000549797,mn0000605375
mn0000549797,mn0000927736
mn0000549797,mn0000057840
mn0000549797,mn0000072205
mn0000549797,mn0000066429
mn0000549797,mn0000934069
mn0000549797,mn0000120521
mn0000549797,mn0000120953
mn0000549797,mn0000234488
mn0000549797,mn0000184814
mn0000549797,mn0000793988
mn0000549797,mn0000159699
mn0000549797,mn0000169536
mn0000549797,mn0000170815
mn0000549797,mn0000188342
mn0000549797,mn0000194036
mn0000549797,mn0000667794
mn0000549797,mn0000740833
mn0000549797,mn0000543867
mn0000549797,mn0000121357
mn0000549797,mn0000849246
mn0000549797,mn0000351935
mn0000549797,mn0000811897
mn0000549797,mn0000209054
mn0000549797,mn0000820596
mn0000549797,mn0000237517
mn0000549797,mn0000339577
mn0000549797,mn0000407300
mn0000549797,mn0000463435
mn0000549797,mn0000300749
mn0000549797,mn0000018835
mn0000549797,mn0000029334
mn0000549797,mn0000046603
mn0000549797,mn0000034249
mn0000549797,mn0000757177
mn0000549797,mn0000194703
mn0000549797,mn0000399895
mn0000549797,mn0000505532
mn0000549797,mn0000222927
mn0000549797,mn0000814606
mn0000549797,mn0000051512
mn0000549797,mn0000057923
mn0000549797,mn0000629609
mn0000549797,mn0000175286
mn0000549797,mn0000796833
mn0000549797,mn0000903609
mn0000549797,mn0000068551
mn0000549797,mn0000379125
mn0000549797,mn0000022348
mn0000549797,mn0000863774
mn0000549797,mn0000523661
mn0000549797,mn0000136640
mn0000549797,mn0000549847
mn0000549797,mn0000102050
mn0000549797,mn0000399659
mn0000549797,mn0000307461
mn0000549797,mn0000206973
mn0000549797,mn0000923284
mn0000549797,mn0000100160
mn0000549797,mn0000251375
mn0000549797,mn0000294623
mn0000549797,mn0000243418
mn0000586204,mn0000545523
mn0000586204,mn0001638289
mn0000259561,mn0000387530
mn0000259561,mn0000212131
mn0000259561,mn0000313792
mn0000525664,mn0000176360
mn0000525664,mn0000562105
mn0000525664,mn0000285164
mn0000525664,mn0000808336
mn0000525664,mn0000034249
mn0000307875,mn0000858375
mn0000307875,mn0000103484
mn0000307875,mn0000090563
mn0000307875,mn0000784070
mn0000307875,mn0000194063
mn0000307875,mn0000022348
mn0000307875,mn0000020760
mn0000307875,mn0000181145
mn0000244552,mn0000255210
mn0000244552,mn0000949259
mn0000244552,mn0000359551
mn0000244552,mn0000777054
mn0000244552,mn0000047134
mn0000115253,mn0000239628
mn0000115253,mn0000471711
mn0000115253,mn0000929573
mn0000115253,mn0000810629
mn0000115253,mn0000361014
mn0000115253,mn0000933841
mn0000115253,mn0000691648
mn0000115253,mn0000932045
mn0000115253,mn0000153194
mn0000115253,mn0000651257
mn0000115253,mn0000153315
mn0000115253,mn0000794301
mn0000115253,mn0000548606
mn0000115253,mn0000308261
mn0000115253,mn0000255964
mn0000115253,mn0000389486
mn0000099246,mn0000932665
mn0000099246,mn0000762885
mn0000099246,mn0000789340
mn0000099246,mn0000780625
mn0000099246,mn0000194246
mn0000099246,mn0000299500
mn0000099246,mn0001878899
mn0000099246,mn0000681154
mn0000050034,mn0000118243
mn0000050034,mn0000626332
mn0000050034,mn0000226634
mn0000050034,mn0000268700
mn0000050034,mn0000812388
mn0000050034,mn0000254833
mn0000178880,mn0000176936
mn0000178880,mn0000209142
mn0000178880,mn0000927627
mn0000178880,mn0000282304
mn0000046603,mn0000131627
mn0000046603,mn0000791483
mn0000046603,mn0000152002
mn0000046603,mn0000471156
mn0000046603,mn0000175708
mn0000046603,mn0000038302
mn0000046603,mn0000475431
mn0000046603,mn0000016147
mn0000046603,mn0000462110
mn0000679370,mn0000100575
mn0000679370,mn0000449289
mn0000679370,mn0000116586
mn0000679370,mn0000372986
mn0000679370,mn0000510885
mn0000197424,mn0000240252
mn0000197424,mn0000749671
mn0000197424,mn0000607105
mn0000197424,mn0000749675
mn0000197424,mn0000777429
mn0000197424,mn0000014515
mn0000160848,mn0000788508
mn0000160848,mn0000759668
mn0000160848,mn0000070704
mn0000160848,mn0000081683
mn0000160848,mn0000540010
mn0000160848,mn0000169526
mn0000160848,mn0000161920
mn0000160848,mn0000835197
mn0000160848,mn0000745584
mn0000160848,mn0000574057
mn0000160848,mn0000494474
mn0000101701,mn0000924780
mn0000101701,mn0000055778
mn0000101701,mn0000149102
mn0000397042,mn0000046925
mn0000397042,mn0000021747
mn0000397042,mn0000418840
mn0000051909,mn0000814220
mn0000051909,mn0000237205
mn0000051909,mn0000387530
mn0000051909,mn0000466759
mn0000051909,mn0000636433
mn0000051909,mn0000674749
mn0000115733,mn0000942529
mn0000115733,mn0000197460
mn0000115733,mn0000144458
mn0000115733,mn0000058549
mn0000115733,mn0000186734
mn0000115733,mn0000176237
mn0000115733,mn0000238495
mn0000115733,mn0000227607
mn0000115733,mn0000232185
mn0000115733,mn0000044994
mn0000115733,mn0000894465
mn0000894335,mn0000418981
mn0000894335,mn0000578141
mn0000894335,mn0000569685
mn0000894335,mn0000007448
mn0000894335,mn0000082013
mn0000894335,mn0000503668
mn0000894335,mn0000263852
mn0000894335,mn0000096379
mn0000894335,mn0000100160
mn0000785787,mn0000124492
mn0000785787,mn0000066915
mn0000785787,mn0000112540
mn0000785787,mn0000223054
mn0000785787,mn0000487271
mn0000785787,mn0000387352
mn0000785787,mn0000577720
mn0000785787,mn0000577531
mn0000139804,mn0000944206
mn0000139804,mn0000045379
mn0000139804,mn0000809001
mn0000139804,mn0000119629
mn0000139804,mn0000280434
mn0000139804,mn0000390239
mn0000811897,mn0000080494
mn0000811897,mn0000610880
mn0000811897,mn0000118189
mn0000811897,mn0000201716
mn0000919812,mn0000898188
mn0000564726,mn0000017387
mn0000564726,mn0000163365
mn0000564726,mn0000196021
mn0000564726,mn0000294623
mn0000564726,mn0000621281
mn0000564726,mn0000018828
mn0000564726,mn0000636433
mn0000564726,mn0000951608
mn0000564726,mn0000841141
mn0000238440,mn0000493848
mn0000238440,mn0000778960
mn0000238440,mn0000140499
mn0000238440,mn0000811395
mn0000238440,mn0000333464
mn0000238440,mn0000831381
mn0000238440,mn0000045475
mn0000238440,mn0000045560
mn0000238440,mn0000413524
mn0000809396,mn0000151290
mn0000376204,mn0000092107
mn0000376204,mn0000005307
mn0000376204,mn0002165952
mn0000376204,mn0000041462
mn0000376204,mn0000744199
mn0000376204,mn0000746707
mn0000376204,mn0000933898
mn0000376204,mn0000608945
mn0000376204,mn0000532610
mn0000376204,mn0000215513
mn0000376204,mn0000210991
mn0000376204,mn0000164053
mn0000376204,mn0000956957
mn0000376204,mn0000302190
mn0000376204,mn0000088035
mn0000376204,mn0000490738
mn0000376204,mn0000367188
mn0000793845,mn0000987974
mn0000793845,mn0000987951
mn0000793845,mn0000127360
mn0000793845,mn0000754055
mn0000793845,mn0000803513
mn0000791483,mn0000746697
mn0000791483,mn0000071958
mn0000791483,mn0000659299
mn0000791483,mn0000196976
mn0000791483,mn0000947752
mn0000791483,mn0000318882
mn0000791483,mn0000189414
mn0000791483,mn0000248920
mn0000791483,mn0000788414
mn0000791483,mn0000243418
mn0000738182,mn0000074397
mn0000738182,mn0000019334
mn0000066915,mn0000530745
mn0000066915,mn0000799053
mn0000066915,mn0000270491
mn0000066915,mn0000379125
mn0000066915,mn0000747445
mn0000066915,mn0000492331
mn0000066915,mn0000631774
mn0000066915,mn0000585896
mn0000066915,mn0000612716
mn0000066915,mn0000816900
mn0000066915,mn0000096613
mn0000066915,mn0000939567
mn0000066915,mn0000131627
mn0000066915,mn0000131581
mn0000066915,mn0000638270
mn0000066915,mn0000167517
mn0000066915,mn0000799233
mn0000066915,mn0000058372
mn0000066915,mn0000840102
mn0000066915,mn0000354105
mn0000066915,mn0000812046
mn0000066915,mn0000294923
mn0000066915,mn0000071209
mn0000066915,mn0000282766
mn0000066915,mn0000394806
mn0000066915,mn0000754032
mn0000066915,mn0000422405
mn0000066915,mn0000595101
mn0000066915,mn0000615119
mn0000066915,mn0000744796
mn0000066915,mn0000307461
mn0000066915,mn0000083554
mn0000066915,mn0000128266
mn0000066915,mn0000058549
mn0000066915,mn0000187478
mn0000066915,mn0000988440
mn0000066915,mn0000130689
mn0000066915,mn0000152002
mn0000066915,mn0000224186
mn0000066915,mn0000816387
mn0000066915,mn0000345355
mn0000066915,mn0000318085
mn0000066915,mn0000333634
mn0000066915,mn0000325459
