from_id,to_id
mn0000150579,mn0000131627
mn0000150579,mn0000757177
mn0000150579,mn0000631774
mn0001056629,mn0000120060
mn0001056629,mn0000678769
mn0001056629,mn0000145128
mn0001056629,mn0000193342
mn0001056629,mn0000290812
mn0001056629,mn0000081493
mn0001056629,mn0000937003
mn0001056629,mn0000137390
mn0000674161,mn0000075264
mn0000674161,mn0000071514
mn0000674161,mn0000639397
mn0000674161,mn0000138833
mn0000674161,mn0000215584
mn0000674161,mn0000488378
mn0000331350,mn0000790509
mn0000331350,mn0000137390
mn0000331350,mn0000895443
mn0000473909,mn0000058549
mn0000473909,mn0000154544
mn0000473909,mn0000387095
mn0000473909,mn0000420097
mn0000473909,mn0000243008
mn0000473909,mn0000471355
mn0000473909,mn0000486047
mn0000124767,mn0000162677
mn0000105565,mn0000928351
mn0000105565,mn0000022124
mn0000105565,mn0000315403
mn0000105565,mn0000103324
mn0000105565,mn0000741746
mn0000784189,mn0000772127
mn0000784189,mn0000856785
mn0000784189,mn0000658346
mn0000784189,mn0000314793
mn0000784189,mn0000090018
mn0000784189,mn0000585601
mn0002166996,mn0000153565
mn0002166996,mn0000899530
mn0000398020,mn0000208774
mn0000398020,mn0000690718
mn0000398020,mn0000160690
mn0000398020,mn0000007689
mn0000398020,mn0000935330
mn0000951924,mn0000673372
mn0000951924,mn0000793988
mn0000951924,mn0000765722
mn0000951924,mn0000207735
mn0000951924,mn0000549797
mn0000951924,mn0000332141
mn0000951924,mn0000816890
mn0000549797,mn0000051910
mn0000549797,mn0000200775
mn0000549797,mn0000181891
mn0000549797,mn0000832288
mn0000549797,mn0000142415
mn0000549797,mn0000577531
mn0000586204,mn0000507491
mn0000586204,mn0000940125
mn0000586204,mn0000611184
mn0000586204,mn0000382455
mn0000586204,mn0000924367
mn0000176360,mn0000072205
mn0000176360,mn0000543867
mn0000176360,mn0000744796
mn0000176360,mn0000351935
mn0000176360,mn0000066429
mn0000176360,mn0000530745
mn0000176360,mn0000200791
mn0000306851,mn0000038469
mn0000306851,mn0000402976
mn0000005307,mn0000376204
mn0000005307,mn0000290072
mn0000005307,mn0000316834
mn0000005307,mn0000622805
mn0000005307,mn0000101946
mn0000005307,mn0000887806
mn0000005307,mn0000361393
mn0000005307,mn0000614823
mn0000005307,mn0000134600
mn0000005307,mn0000208774
mn0000005307,mn0000224257
mn0000005307,mn0000113753
mn0000005307,mn0000866491
mn0000005307,mn0000279337
mn0000414095,mn0000079016
mn0000414095,mn0000299882
mn0000414095,mn0000071209
mn0000414095,mn0000377581
mn0000414095,mn0000866271
mn0000414095,mn0000336783
mn0000414095,mn0000868306
mn0000414095,mn0000000335
mn0000414095,mn0000051910
mn0000414095,mn0000589971
mn0000782941,mn0000077283
mn0000782941,mn0000314793
mn0002313332,mn0000187478
mn0002313332,mn0000182900
mn0002313332,mn0000238495
