from_id,to_id
mn0000150579,mn0000047789
mn0000150579,mn0000280960
mn0000150579,mn0000354733
mn0000150579,mn0000082091
mn0000150579,mn0000160993
mn0000150579,mn0000152002
mn0000013686,mn0000147316
mn0000173925,mn0000607448
mn0000173925,mn0000138407
mn0000173925,mn0000760977
mn0000173925,mn0000578141
mn0000173925,mn0000567624
mn0000173925,mn0000806507
mn0000173925,mn0000147200
mn0000173925,mn0000082955
mn0000173925,mn0000762731
mn0000173925,mn0000524239
mn0000173925,mn0000192436
mn0000173925,mn0000797353
mn0000173925,mn0000075008
mn0000173925,mn0000329468
mn0000173925,mn0000221894
mn0000674161,mn0000207290
mn0000674161,mn0000802885
mn0000674161,mn0000214553
mn0000674161,mn0000280993
mn0000674161,mn0000639397
mn0000674161,mn0000781370
mn0000674161,mn0000141477
mn0000674161,mn0000001241
mn0000674161,mn0000769159
mn0000674161,mn0000245250
mn0000674161,mn0000577102
mn0000674161,mn0000619388
mn0000674161,mn0000796439
mn0001502263,mn0001391309
mn0001502263,mn0000620917
mn0001502263,mn0000666073
mn0001502263,mn0000130407
mn0001502263,mn0000777366
mn0001502263,mn0000408736
mn0001502263,mn0000753347
mn0001502263,mn0000840708
mn0001502263,mn0000433656
mn0001502263,mn0002328419
mn0001502263,mn0000639062
mn0001502263,mn0000431439
mn0001502263,mn0000652016
mn0001502263,mn0000184677
mn0001502263,mn0000110558
mn0001502263,mn0000230855
mn0001502263,mn0000542879
mn0001502263,mn0000527109
mn0001502263,mn0000125152
mn0001502263,mn0000591459
mn0001502263,mn0000570006
mn0001502263,mn0000390185
mn0001502263,mn0000399361
mn0001502263,mn0000956973
mn0001502263,mn0000615641
mn0000331350,mn0001514875
mn0000331350,mn0000344976
mn0000331350,mn0000780948
mn0000331350,mn0000836394
mn0000331350,mn0000420675
mn0001031148,mn0002325575
mn0001031148,mn0002068925
mn0001031148,mn0000937599
mn0001031148,mn0000502254
mn0001031148,mn0002014070
mn0001031148,mn0001038902
mn0001031148,mn0000714953
mn0001031148,mn0000393938
mn0001031148,mn0000896712
mn0001031148,mn0000444682
mn0001031148,mn0000611184
mn0000197150,mn0000835952
mn0000197150,mn0000560878
mn0000197150,mn0000783091
mn0000197150,mn0000666598
mn0000197150,mn0000928351
mn0000197150,mn0000052784
mn0000197150,mn0000722448
mn0000197150,mn0000545534
mn0000197150,mn0000870938
mn0000197150,mn0000905919
mn0000197150,mn0000855704
mn0000197150,mn0000491174
mn0000197150,mn0000220909
mn0000551816,mn0000240849
mn0000551816,mn0000407682
mn0000551816,mn0000776348
mn0000551816,mn0000031249
mn0000551816,mn0000378288
mn0000371459,mn0000639062
mn0000473909,mn0000585574
mn0000473909,mn0000965438
mn0000473909,mn0000757342
mn0000473909,mn0000170879
mn0000473909,mn0000735952
mn0000473909,mn0000837886
mn0000473909,mn0000301516
mn0000473909,mn0000595768
mn0000124767,mn0000094210
mn0000124767,mn0000397042
mn0000105565,mn0000194008
mn0000105565,mn0000666598
mn0000105565,mn0000668265
mn0000105565,mn0000220909
mn0000105565,mn0000022369
mn0000105565,mn0000041557
mn0000105565,mn0000783091
mn0000105565,mn0000950454
mn0000105565,mn0000667111
mn0000105565,mn0000039406
mn0000105565,mn0000491174
mn0000105565,mn0000197150
mn0000184500,mn0000169526
mn0000784189,mn0000811234
mn0000784189,mn0000944384
mn0000784189,mn0000804067
mn0000784189,mn0000308261
mn0000784189,mn0000771382
mn0000784189,mn0000927416
mn0000784189,mn0000158801
mn0000784189,mn0000115253
mn0000784189,mn0000096780
mn0000784189,mn0000170084
mn0000784189,mn0000777156
mn0000784189,mn0000303125
mn0000020630,mn0000664849
mn0000020630,mn0000661524
mn0000020630,mn0000796499
mn0000020630,mn0000345120
mn0002166996,mn0000668092
mn0002166996,mn0002327436
mn0002166996,mn0000894930
mn0002166996,mn0000429505
mn0000398020,mn0000578999
mn0000398020,mn0000761179
mn0000398020,mn0000073682
mn0000398020,mn0000933898
mn0000398020,mn0000234647
mn0000398020,mn0000741380
mn0000398020,mn0000164053
mn0000398020,mn0000083095
mn0000398020,mn0000376204
mn0000398020,mn0000354631
mn0000398020,mn0000303506
mn0000398020,mn0000005307
mn0000398020,mn0000490738
mn0000951924,mn0000462110
mn0000951924,mn0000567190
mn0000951924,mn0000057373
mn0000951924,mn0000519637
mn0000951924,mn0000207735
mn0000951924,mn0000816890
mn0000951924,mn0000475431
mn0000951924,mn0000609429
mn0000568680,mn0001607962
mn0000568680,mn0000149718
mn0000568680,mn0000198923
mn0000568680,mn0000143206
mn0000568680,mn0000170214
mn0000568680,mn0000008110
mn0000568680,mn0000156125
mn0000568680,mn0000405607
mn0000568680,mn0000685751
mn0000549797,mn0000163198
mn0000549797,mn0000190946
mn0000549797,mn0000409954
mn0000549797,mn0000198901
mn0000549797,mn0000120560
mn0000549797,mn0000200775
mn0000549797,mn0000143951
mn0000549797,mn0000947816
mn0000549797,mn0000198783
mn0000549797,mn0000169536
mn0000549797,mn0000559554
mn0000549797,mn0000562030
mn0000549797,mn0000816890
mn0000549797,mn0000314346
mn0000549797,mn0000380704
mn0000549797,mn0000683065
mn0000549797,mn0000770628
mn0000549797,mn0000165818
mn0000549797,mn0000083106
mn0000549797,mn0000332141
mn0000549797,mn0000852007
mn0000549797,mn0000032193
mn0000549797,mn0000941579
mn0000549797,mn0000189701
mn0000549797,mn0000098189
mn0000549797,mn0000355451
mn0000549797,mn0000577531
mn0002166516,mn0000086927
mn0000791070,mn0000184231
mn0000791070,mn0000780581
mn0000586204,mn0000258955
mn0000586204,mn0000306258
mn0000586204,mn0000733096
mn0000586204,mn0000488908
mn0000586204,mn0000689606
mn0000586204,mn0000616192
mn0000586204,mn0000319354
mn0000586204,mn0000780734
mn0000586204,mn0000305641
mn0000079523,mn0000531660
mn0000675456,mn0000180017
mn0000176360,mn0000134761
mn0000176360,mn0000621423
mn0000176360,mn0000098688
mn0000176360,mn0000090563
mn0000176360,mn0000385879
mn0000176360,mn0000286561
mn0000176360,mn0000034249
mn0000176360,mn0000525664
mn0000176360,mn0000136386
mn0000176360,mn0000414291
mn0000176360,mn0000358528
mn0000176360,mn0000399659
mn0000176360,mn0000071958
mn0000176360,mn0000285164
mn0000176360,mn0000201668
mn0000176360,mn0000562105
mn0000176360,mn0000223821
mn0000176360,mn0000753833
mn0000138144,mn0000608607
mn0000138144,mn0000142085
mn0000138144,mn0000175105
mn0000138144,mn0000799347
mn0000138144,mn0000231840
mn0000138144,mn0000369574
mn0000138144,mn0000564727
mn0000138144,mn0000742295
mn0000138144,mn0000586798
mn0000138144,mn0000012526
mn0000138144,mn0000696571
mn0000138144,mn0000717714
mn0000138144,mn0001551411
mn0000138144,mn0000800405
mn0000138144,mn0000869417
mn0000138144,mn0000024032
mn0000138144,mn0000799348
mn0000363156,mn0000051380
