id,allmusic_id,musicbrainz_ids
0,mt0041964509,"['248eb207-f965-432a-bd35-25b58e04a60b', 'af48ed96-8f72-40e6-b315-cdc3672c375a']"
1,mt0018230709,"['499c35e4-e2ee-497f-aad2-3d6f275a6c55', '60ea8d56-1e76-4f60-accc-b22a38a89b6d']"
2,mt0061638335,['de20a61a-a27f-412b-81b5-b4368f8f8903']
3,mt0061638333,"['49b62f2e-cbd2-42ff-a89f-e6757203be75', '72941c93-5c72-49ba-ad2c-3d6d6fc9c80e']"
4,mt0061638334,"['5fe8bea3-988d-44e7-897e-14447e467cef', 'd4a851ea-3ce1-4488-ac6a-a1dfd2d49a3c']"
5,mt0061638332,"['a9e9329c-7e7f-45d0-8f64-45b96a93d78a', 'bfba2938-67b0-4622-8e7b-30e9ae693492']"
6,mt0061638331,"['cb3f78d5-ffeb-4284-bccb-1de5c482cfd8', '2668ce04-cca5-4de1-80fb-48521338c191']"
7,mt0056515200,['3620b3a7-462f-4fb0-95ed-c2ff9e273709']
8,mt0056515201,['065664c5-60b0-4070-a2ca-8386ad93c509']
9,mt0056515204,['e8affba6-72bb-4281-979b-f90caa8b9af3']
10,mt0056515203,['1d5944d5-28a9-40a7-a9cd-eefea343d857']
11,mt0056515199,['5d51e7c7-124f-4f7a-a0fa-c894c2ce19bb']
12,mt0056515202,['3ed17276-4088-43f3-9ce8-ddb87bd1cd56']
13,mt0055292193,['87f6dd2d-493e-45d3-8c2e-b8cdf06f5ff8']
14,mt0055292192,['018f8dda-46cb-44ef-8f06-e6759b854a24']
15,mt0040960859,['bc161e6c-fab9-4ce3-855f-772b5cccd44e']
16,mt0040960860,"['a5a05ae7-8e87-415b-999b-a4d476fb5e05', '1b7aefe2-7e25-41f0-b10f-d8fe745a5a42']"
17,mt0042897185,"['aab6f18f-dccd-41aa-aa6e-2ee97da7e25d', 'e27b5edc-aaf0-4923-9637-765c9ed45e99']"
18,mt0031246076,['b10abbdb-5de8-4b06-8a81-5a4a2a1145d2']
19,mt0048313773,['cfc4f9f2-852d-45d0-87e6-db5977c71c88']
20,mt0048504687,['40db2b7e-9378-41e8-a1e2-761b949599b3']
21,mt0048504675,['f81ee947-9d8a-45df-9de9-35144c3b34c2']
22,mt0010422677,"['1541b226-49a0-4a79-b9ad-58a8f1de9ab5', 'e5f2470b-e292-4c5e-be8b-c405a3cea402', '43b38340-ff64-47e3-8c99-9faf261bd831', '38417197-dce7-4d31-9867-fdc2ca0970de', 'bc70ffb0-ac39-429a-92ce-d420351dac18']"
23,mt0027144022,"['e7e38571-7d07-40bb-8f06-ab739f68b1d1', 'ef60ec10-912d-466a-ac5a-332a124abebc', '2a5c45f5-40f5-4b7f-a729-8639d906f272', 'bdd9beea-81df-454b-8fb1-aee93e9247f8']"
24,mt0010407320,"['255c737c-cb19-4bde-8adf-efc8a3dd3dd3', 'a4b42464-135c-433a-a469-69e6a1e3a83a', '6a24c7bf-a52c-4e7b-aa5d-c071202acaab', '204f5db3-0276-4ec0-a5da-6fb269073e84', '883ebf3e-0c4f-47a3-ad16-24ea39259a17']"
25,mt0002738628,['2c997ad2-452b-4a2e-9f4e-5cef5ec8b288']
26,mt0056637816,['0900888c-e94d-4fb6-bf42-0e4986dc2e1f']
27,mt0010429848,"['31409e08-0375-4d1b-921f-4e00a32b195b', '15af6458-3972-4cb2-b0a2-224d364fa497']"
